,s_property_type,s_places,d_currency,c_price_aprox_local_currency,c_surface_total_in_m2,c_surface_covered_in_m2,c_price_per_m2,c_latitud,c_longitud
5376,apartment,Cuajimalpa,0,8720392.68,216.0,216.0,40740.74074,19.35735,-99.299792
5377,apartment,Cuauhtemoc,0,5055062.36,84.0,84.0,60714.28571,19.4157753,-99.165401
5378,apartment,Cuauhtemoc,0,416299.25,65.0,65.0,6461.538462,19.408179,-99.148713
5379,house,GustavoAMadero,0,2190007.57,445.0,445.0,4966.292135,19.461089,-99.103639
5381,apartment,GustavoAMadero,0,234088.89,45.0,45.0,5248.222222,19.482945,-99.113471
5382,house,BenitoJuarez,0,2131055.71,66.0,64.0,33593.75,19.371992,-99.157853
5383,apartment,BenitoJuarez,0,1489105.05,80.0,80.0,18783.7375,19.39867,-99.154329
5384,house,Tlalpan,0,1218872.99,70.0,70.0,17571.42857,19.271242,-99.160156
5388,apartment,Coyoacan,0,1633745.61,110.0,110.0,14987.81818,19.343979,-99.124863
5389,apartment,VenustianoCarranza,0,460062.11,55.0,55.0,8441.127273,19.409843,-99.125509
5391,apartment,BenitoJuarez,0,743215.24,60.0,60.0,12500.0,19.387651,-99.142257
5392,apartment,BenitoJuarez,0,4261596.45,74.0,74.0,58114.86486,19.375626,-99.15461
5393,apartment,BenitoJuarez,0,5041576.1,87.0,87.0,58478.16092,19.394358,-99.177444
5395,apartment,Iztapalapa,0,644272.56,58.0,58.0,11206.89655,19.328299,-99.070236
5396,apartment,AlvaroObregon,0,1908038.25,130.0,130.0,14807.69231,19.387209,-99.222038
5397,apartment,GustavoAMadero,0,719432.27,60.0,60.0,12100.0,19.477476,-99.093448
5398,apartment,Iztacalco,0,551961.2,60.0,60.0,9283.333333,19.401371,-99.115535
5399,apartment,Tlahuac,0,358285.93,54.0,54.0,6693.907407,19.270566,-99.004846
5400,apartment,BenitoJuarez,0,1645075.86,60.0,60.0,27661.66667,19.396705,-99.181902
5402,apartment,AlvaroObregon,0,802672.48,55.0,55.0,14727.27273,19.359748,-99.253796
5403,apartment,Cuauhtemoc,0,901106.77,80.0,80.0,11366.6625,19.445845,-99.149765
5404,apartment,BenitoJuarez,0,1443026.67,100.0,100.0,14562.0,19.388044,-99.185753
5405,apartment,Azcapotzalco,0,847265.37,60.0,60.0,14250.0,19.514181,-99.138695
5407,apartment,Coyoacan,0,2972861.16,118.0,118.0,25423.72881,19.311692,-99.126844
5409,apartment,Iztapalapa,0,576254.44,56.0,56.0,10384.19643,19.359004,-99.092622
5410,house,AlvaroObregon,0,7580796.01,417.0,417.0,18345.32374,19.362996,-99.196158
5411,house,MiguelHidalgo,0,1347696.92,100.0,100.0,13600.0,19.399689,-99.188522
5412,apartment,BenitoJuarez,0,8423106.66,225.0,190.0,44736.84211,19.3955732459,-99.1732661426
5414,house,Azcapotzalco,0,3309785.34,100.0,100.0,33400.0,19.473907,-99.177444
5415,apartment,BenitoJuarez,0,1159109.54,84.0,84.0,13924.89286,19.39942,-99.141673
5416,house,Tlalpan,0,6145370.04,524.0,524.0,11832.06107,19.271481,-99.175369
5417,apartment,BenitoJuarez,0,3121504.17,85.0,85.0,37058.82353,19.367025,-99.170349
5419,apartment,Tlalpan,0,764485.96,70.0,72.0,10712.25,19.288275,-99.167125
5420,house,Tlalpan,0,7927629.83,494.0,494.0,16194.33198,19.27034,-99.216289
5421,apartment,BenitoJuarez,0,831607.29,64.0,64.0,13109.375,19.386385,-99.142736
5424,apartment,Cuauhtemoc,0,1353662.6,53.0,53.0,25773.96226,19.408234,-99.14455
5426,house,Tlalpan,0,13377875.33,500.0,500.0,27000.0,19.293456,-99.213157
5428,apartment,BenitoJuarez,0,6591404.96,185.0,185.0,35945.94595,19.371992,-99.157853
5429,apartment,BenitoJuarez,0,4395870.7,114.0,114.0,38912.2807,19.376822,-99.174675
5430,house,Xochimilco,0,5450245.5,211.0,211.0,26066.35071,19.279032,-99.127632
5432,apartment,BenitoJuarez,0,5152959.29,135.0,135.0,38518.51852,19.394073,-99.153915
5434,apartment,AlvaroObregon,0,3106385.34,92.0,92.0,34065.21739,19.355921,-99.180214
5435,apartment,BenitoJuarez,0,1615637.54,80.0,80.0,20375.0,19.396893,-99.152302
5436,house,Tlalpan,0,3200780.49,138.0,138.0,23405.7971,19.299458,-99.121243
5437,house,Iztacalco,0,2555578.41,279.0,279.0,9243.397849,19.382139,-99.127632
5438,apartment,AlvaroObregon,0,3621195.99,164.0,164.0,22276.75,19.390806,-99.195413
5440,apartment,Iztapalapa,0,1105175.42,72.0,72.0,15486.11111,19.369859,-99.135812
5441,house,AlvaroObregon,0,1981907.31,150.0,150.0,13333.33333,19.33923,-99.218987
5442,store,Cuauhtemoc,0,4906384.18,592.0,592.0,8361.486486,19.423275,-99.1305663
5446,apartment,Tlalpan,0,1308058.76,60.0,60.0,22000.0,19.287188,-99.170525
5447,apartment,BenitoJuarez,0,5351150.09,140.0,140.0,38571.42857,19.391074,-99.165737
5448,apartment,Cuauhtemoc,0,1694530.74,60.0,60.0,28500.0,19.413536,-99.147313
5449,apartment,BenitoJuarez,0,8348654.15,240.0,240.0,34786.058958333335,19.38724,-99.167509
5450,house,AlvaroObregon,0,2911421.88,250.0,250.0,11752.0,19.336767,-99.232971
5451,apartment,Azcapotzalco,0,1337787.47,64.0,64.0,21093.75,19.474421,-99.189081
5453,apartment,Cuauhtemoc,0,688256.99,46.0,46.0,15098.69565,19.418925,-99.143913
5455,house,Iztapalapa,0,819518.69,120.0,120.0,6891.666667,19.319557,-99.092189
5456,apartment,Tlalpan,0,1704440.37,60.0,60.0,28666.66667,19.283038,-99.225393
5457,apartment,AlvaroObregon,0,2680529.67,64.0,64.0,42265.625,19.369862,-99.268166
5458,apartment,Cuauhtemoc,0,534136.76,14.0,14.0,38500.92857,19.439716,-99.152892
5459,house,GustavoAMadero,0,4311670.88,302.0,302.0,14403.97351,19.508795,-99.125714
5460,house,Xochimilco,0,2477384.14,310.0,265.0,9433.962264,19.2413678009,-99.1087105823
5461,apartment,GustavoAMadero,0,852220.09,57.0,57.0,15087.7193,19.496491,-99.149702
5462,apartment,Cuauhtemoc,0,673848.36,67.0,67.0,10149.25373,19.414009,-99.142481
5463,house,Iztacalco,0,3071956.38,150.0,150.0,20666.66667,19.38447,-99.133548
5464,apartment,BenitoJuarez,0,3028057.15,64.0,64.0,47745.3125,19.39365,-99.14769
5465,apartment,Tlahuac,0,1088167.46,63.0,63.0,17426.04762,19.2990233,-99.0436467
5466,house,BenitoJuarez,0,4645590.97,250.0,250.0,18752.0,19.399375,-99.149986
5468,house,VenustianoCarranza,0,2656385.77,153.0,153.0,17516.33987,19.433418,-99.118637
5470,apartment,BenitoJuarez,0,1298149.31,70.0,70.0,18714.28571,19.394965,-99.181702
5472,apartment,GustavoAMadero,0,2968447.37,85.0,85.0,34922.91023529412,19.5010872,-99.1230477
5474,house,Tlalpan,0,2779030.54,131.0,131.0,21407.63359,19.296596,-99.236811
5475,house,Coyoacan,0,6252917.98,350.0,350.0,18028.57143,19.343979,-99.124863
5476,apartment,Cuauhtemoc,0,354845.48,63.0,63.0,5682.539683,19.441439,-99.135309
5477,house,BenitoJuarez,0,3356360.27,100.0,100.0,33870.0,19.37634,-99.166014
5478,apartment,MiguelHidalgo,0,2923313.36,90.0,90.0,32777.77778,19.43805,-99.186748
5479,apartment,Tlahuac,0,574753.15,57.0,57.0,10175.4386,19.3471146,-99.0038712
5480,house,Xochimilco,0,4414754.44,250.0,250.0,17816.0,19.279032,-99.127632
5481,house,Tlalpan,0,3537704.68,218.0,218.0,16376.14679,19.288275,-99.167125
5482,apartment,Azcapotzalco,0,1565706.81,55.0,55.0,28727.27273,19.484102,-99.18436
5483,apartment,MiguelHidalgo,0,2972861.16,94.0,94.0,31914.89362,19.411472,-99.188522
5484,house,GustavoAMadero,0,2026767.84,111.0,111.0,18425.85586,19.457458,-99.065399
5487,apartment,Iztapalapa,0,5450245.5,529.0,529.0,10396.97543,19.376287,-99.126566
5488,apartment,Tlalpan,0,579970.25,114.0,114.0,5132.684211,19.281996,-99.164753
5489,apartment,Cuajimalpa,0,4709012.1,88.0,88.0,54000.0,19.358447,-99.271956
5492,house,AlvaroObregon,0,713486.52,100.0,100.0,7200.0,19.342316,-99.226668
5494,apartment,Iztapalapa,0,630741.91,50.0,50.0,12730.0,19.332034,-99.062028
5495,apartment,BenitoJuarez,0,1664802.21,55.0,55.0,30545.45455,19.377171,-99.188503
5496,house,Cuauhtemoc,0,5450245.5,220.0,220.0,25000.0,19.398298,-99.12746
5497,apartment,Cuajimalpa,0,17841397.02,279.0,279.0,64516.12903,19.346647,-99.275787
5498,store,Cuauhtemoc,0,822025.49,70.0,70.0,11847.61429,19.424705,-99.153897
5499,apartment,AlvaroObregon,0,670181.83,80.0,80.0,8453.75,19.35944,-99.217652
5505,apartment,BenitoJuarez,0,1999744.54,95.0,95.0,21242.10526,19.39557,-99.132937
5508,apartment,Coyoacan,0,1458683.81,60.0,60.0,24533.33333,19.309208,-99.171906
